project,subproject,rca,program_title,yr3_forecast,yr2_forecast,yr1_forecast,yr0_plan,yr1_approp,yr2_oblig,key
project-6,subproject-22,rca-69,program-118,4142,3658.01,4318.25,5011.4,5460.86,5325.25,project-6-subproject-22-rca-69program-118
project-2,subproject-6,rca-57,program-68,22853,14664.66,17062.2,15161.6,11083.59,10068.9,project-2-subproject-6-rca-57program-68
project-6,subproject-12,rca-69,program-100,7400,7937.14,9412.21,6099.99,4290.23,3448.93,project-6-subproject-12-rca-69program-100
project-13,subproject-15,rca-16,program-74,24309,22352.55,19037.03,23673.72,19195.29,18170.27,project-13-subproject-15-rca-16program-74
project-7,subproject-38,rca-12,program-46,1605,867.35,1028.6,1254.18,986.06,829.49,project-7-subproject-38-rca-12program-46
project-9,subproject-24,rca-18,program-83,24692,25870.09,24248.1,19659.38,19886.06,16055.27,project-9-subproject-24-rca-18program-83
project-2,subproject-8,rca-64,program-22,22297,28293.62,25039.52,24249.32,25108.16,22966.96,project-2-subproject-8-rca-64program-22
project-13,subproject-5,rca-27,program-107,29594,21349.34,17808.42,12998.41,15551.88,12686.7,project-13-subproject-5-rca-27program-107
project-15,subproject-36,rca-41,program-62,12718,8850.42,7636.97,9103.8,10879.24,9258.97,project-15-subproject-36-rca-41program-62
project-15,subproject-24,rca-21,program-81,29643,19624.27,16764.8,11290.24,10677.27,10281.76,project-15-subproject-24-rca-21program-81
project-2,subproject-14,rca-7,program-62,20776,13435.36,11359.36,8375.95,9323.96,7940.79,project-2-subproject-14-rca-7program-62
project-8,subproject-29,rca-44,program-107,18268,10627.87,11405.06,14787.12,16125.07,14668.52,project-8-subproject-29-rca-44program-107
project-1,subproject-33,rca-62,program-78,9768,11229.09,11412.88,10120.45,10874.99,10334.21,project-1-subproject-33-rca-62program-78
project-10,subproject-32,rca-23,program-93,12843,16260.77,19473.45,19651.46,20435.99,19141.9,project-10-subproject-32-rca-23program-93
project-20,subproject-25,rca-49,program-1,15033,12617.42,14832.44,12790.21,13328.78,12885.04,project-20-subproject-25-rca-49program-1
project-4,subproject-1,rca-10,program-97,21305,20496.25,21122.83,13844.23,14037.54,13033.87,project-4-subproject-1-rca-10program-97
project-5,subproject-21,rca-24,program-61,25108,27329.58,24272.0,26718.71,31555.39,31110.54,project-5-subproject-21-rca-24program-61
project-13,subproject-12,rca-51,program-46,12615,11869.67,13487.92,11590.6,9086.76,7696.62,project-13-subproject-12-rca-51program-46
project-1,subproject-9,rca-47,program-1,11504,9350.39,7949.71,5978.07,4203.58,4167.53,project-1-subproject-9-rca-47program-1
project-15,subproject-21,rca-21,program-71,9746,11890.21,11358.66,13088.18,9267.65,8499.5,project-15-subproject-21-rca-21program-71
project-11,subproject-8,rca-65,program-54,24860,14516.9,17124.66,10572.27,12110.08,11392.69,project-11-subproject-8-rca-65program-54
project-2,subproject-3,rca-56,program-70,7389,8732.2,10403.54,13260.53,11365.19,10341.93,project-2-subproject-3-rca-56program-70
project-13,subproject-1,rca-23,program-31,16642,9318.67,10924.34,12963.62,10972.42,10078.13,project-13-subproject-1-rca-23program-31
project-3,subproject-20,rca-51,program-66,7429,8662.6,9998.4,12429.23,10918.74,9858.47,project-3-subproject-20-rca-51program-66
project-13,subproject-37,rca-80,program-4,11063,6330.41,7252.26,7481.74,4556.25,4075.13,project-13-subproject-37-rca-80program-4
project-3,subproject-22,rca-42,program-97,29138,34101.97,40562.37,30189.06,27520.44,25723.36,project-3-subproject-22-rca-42program-97
project-18,subproject-31,rca-39,program-60,18573,13613.56,14373.56,10048.82,7695.81,7160.24,project-18-subproject-31-rca-39program-60
project-17,subproject-40,rca-23,program-25,12251,9541.99,7751.33,6180.49,5342.65,4852.63,project-17-subproject-40-rca-23program-25
project-8,subproject-24,rca-4,program-80,7706,8912.01,10464.49,9510.96,11031.7,10310.18,project-8-subproject-24-rca-4program-80
project-7,subproject-17,rca-38,program-72,11779,10053.01,11006.79,9869.27,9137.06,7655.65,project-7-subproject-17-rca-38program-72
project-10,subproject-18,rca-20,program-17,28618,35794.35,31857.53,34527.37,34274.14,33480.64,project-10-subproject-18-rca-20program-17
project-6,subproject-33,rca-14,program-74,29225,22259.45,19938.95,20227.41,20983.07,18231.33,project-6-subproject-33-rca-14program-74
project-12,subproject-35,rca-31,program-107,6922,5327.95,5014.94,5694.47,4291.31,4240.26,project-12-subproject-35-rca-31program-107
project-9,subproject-17,rca-51,program-65,27273,27001.95,32059.1,25866.2,19162.09,16051.6,project-9-subproject-17-rca-51program-65
project-20,subproject-10,rca-43,program-107,29102,15146.0,17148.28,21515.2,24224.95,20283.0,project-20-subproject-10-rca-43program-107
project-9,subproject-3,rca-67,program-23,6953,6241.18,5804.25,4748.42,5448.99,4903.92,project-9-subproject-3-rca-67program-23
project-9,subproject-26,rca-49,program-24,23542,18782.38,21723.57,22914.52,14182.7,13081.84,project-9-subproject-26-rca-49program-24
project-17,subproject-1,rca-58,program-80,22366,22150.74,22287.3,16481.53,15578.87,15387.89,project-17-subproject-1-rca-58program-80
project-13,subproject-6,rca-76,program-114,25043,24259.5,20749.79,17206.41,11529.0,10240.19,project-13-subproject-6-rca-76program-114
project-17,subproject-37,rca-26,program-42,22209,16734.81,15899.94,11772.77,7531.68,7010.59,project-17-subproject-37-rca-26program-42
project-5,subproject-30,rca-68,program-39,21413,24807.74,20646.44,14216.59,11427.32,11406.69,project-5-subproject-30-rca-68program-39
project-2,subproject-9,rca-32,program-4,28282,35913.85,38228.57,39841.41,28253.04,25357.66,project-2-subproject-9-rca-32program-4
project-20,subproject-5,rca-71,program-96,28797,19486.32,20586.56,18986.48,14320.57,12308.83,project-20-subproject-5-rca-71program-96
project-11,subproject-19,rca-16,program-62,7221,4150.12,3599.52,2248.08,2674.04,2468.54,project-11-subproject-19-rca-16program-62
project-15,subproject-20,rca-47,program-107,24143,16203.02,18436.57,20382.9,15474.82,13994.32,project-15-subproject-20-rca-47program-107
project-13,subproject-33,rca-48,program-38,2435,1317.76,1408.4,1759.41,1330.02,1173.04,project-13-subproject-33-rca-48program-38
project-6,subproject-40,rca-2,program-118,13304,13897.89,11431.68,14328.91,10423.21,10322.37,project-6-subproject-40-rca-2program-118
project-17,subproject-40,rca-51,program-100,29262,16994.37,15620.26,10369.45,11059.13,8851.25,project-17-subproject-40-rca-51program-100
project-10,subproject-26,rca-13,program-103,23704,28698.65,25980.85,33295.47,38042.97,32065.34,project-10-subproject-26-rca-13program-103
project-19,subproject-1,rca-78,program-97,9269,11217.99,9511.22,5842.96,3772.5,3201.71,project-19-subproject-1-rca-78program-97
project-18,subproject-34,rca-26,program-118,27876,20628.98,20866.53,19682.57,14219.19,14133.49,project-18-subproject-34-rca-26program-118
project-4,subproject-20,rca-65,program-40,1399,996.23,1047.13,1057.62,1197.17,992.46,project-4-subproject-20-rca-65program-40
project-20,subproject-39,rca-26,program-33,16510,9747.75,10689.15,8956.63,6642.02,6210.67,project-20-subproject-39-rca-26program-33
project-14,subproject-36,rca-72,program-65,18816,14822.12,17688.67,15617.55,14672.76,12438.45,project-14-subproject-36-rca-72program-65
project-6,subproject-2,rca-78,program-32,1705,1120.84,1264.69,1138.26,835.69,788.04,project-6-subproject-2-rca-78program-32
project-8,subproject-38,rca-59,program-45,5675,6751.0,6994.31,7475.82,8206.36,7897.79,project-8-subproject-38-rca-59program-45
project-5,subproject-8,rca-36,program-109,8802,11184.09,10081.35,11621.27,7586.24,6138.29,project-5-subproject-8-rca-36program-109
project-17,subproject-16,rca-53,program-21,14465,10796.19,9162.92,5853.36,5328.52,4784.57,project-17-subproject-16-rca-53program-21
project-4,subproject-17,rca-76,program-85,4762,6131.3,5565.67,4352.91,3602.3,3429.85,project-4-subproject-17-rca-76program-85
project-16,subproject-10,rca-15,program-48,3066,3375.26,2921.52,2425.57,2195.29,2186.19,project-16-subproject-10-rca-15program-48
project-8,subproject-37,rca-57,program-59,12521,10086.45,9746.75,6731.32,5268.63,4905.61,project-8-subproject-37-rca-57program-59
project-11,subproject-30,rca-80,program-57,5155,4151.94,4361.69,3743.0,4016.79,3506.7,project-11-subproject-30-rca-80program-57
project-2,subproject-14,rca-16,program-16,6681,4690.19,5014.24,3647.02,3038.9,2502.76,project-2-subproject-14-rca-16program-16
project-6,subproject-32,rca-28,program-8,27293,28717.85,30771.9,24866.93,15496.52,14944.04,project-6-subproject-32-rca-28program-8
project-4,subproject-14,rca-47,program-26,16453,15133.49,15918.3,20039.9,21622.99,20703.02,project-4-subproject-14-rca-47program-26
project-12,subproject-1,rca-30,program-95,17601,20453.03,17241.96,16296.98,14771.69,13948.63,project-12-subproject-1-rca-30program-95
project-12,subproject-35,rca-25,program-100,14430,16802.28,16968.82,18680.1,17065.81,14085.45,project-12-subproject-35-rca-25program-100
project-9,subproject-14,rca-23,program-37,3772,4522.64,4901.5,5592.16,5662.1,4911.92,project-9-subproject-14-rca-23program-37
project-20,subproject-11,rca-2,program-118,16001,11867.55,13459.91,17004.47,13027.73,10729.47,project-20-subproject-11-rca-2program-118
project-18,subproject-14,rca-61,program-102,9593,5969.74,6886.6,7232.54,4649.5,4350.42,project-18-subproject-14-rca-61program-102
project-18,subproject-2,rca-55,program-107,29143,36881.12,38037.26,31895.47,24262.62,20023.36,project-18-subproject-2-rca-55program-107
project-14,subproject-14,rca-43,program-77,13235,11606.91,10677.34,10456.87,9519.63,8413.62,project-14-subproject-14-rca-43program-77
project-20,subproject-19,rca-58,program-8,22484,16046.04,17911.09,12478.37,9367.15,7702.53,project-20-subproject-19-rca-58program-8
project-6,subproject-31,rca-13,program-28,17432,21194.34,22499.55,14581.37,15380.63,15088.39,project-6-subproject-31-rca-13program-28
project-11,subproject-1,rca-7,program-16,4152,3292.55,3338.72,2559.59,1734.9,1465.19,project-11-subproject-1-rca-7program-16
project-14,subproject-10,rca-38,program-68,25746,17581.77,14436.01,12120.37,13225.05,13058.36,project-14-subproject-10-rca-38program-68
project-16,subproject-30,rca-21,program-75,26042,23649.24,22983.64,15137.2,14093.12,12169.96,project-16-subproject-30-rca-21program-75
project-19,subproject-31,rca-42,program-63,19640,25353.61,21183.86,18798.95,18437.11,18349.85,project-19-subproject-31-rca-42program-63
project-1,subproject-40,rca-10,program-12,11844,11171.68,9485.31,10586.71,11839.31,10488.08,project-1-subproject-40-rca-10program-12
project-19,subproject-25,rca-48,program-109,11440,9814.79,9223.21,11511.29,11143.81,10411.62,project-19-subproject-25-rca-48program-109
project-13,subproject-25,rca-60,program-31,29326,14965.48,14887.47,13170.53,15344.27,12981.41,project-13-subproject-25-rca-60program-31
project-8,subproject-13,rca-78,program-25,1113,1394.21,1309.09,900.08,552.67,538.84,project-8-subproject-13-rca-78program-25
project-10,subproject-26,rca-80,program-67,27381,26338.47,31047.25,36927.59,41405.56,33742.76,project-10-subproject-26-rca-80program-67
project-4,subproject-13,rca-13,program-29,15743,18330.92,17829.17,22131.01,19851.85,17275.74,project-4-subproject-13-rca-13program-29
project-20,subproject-1,rca-13,program-16,18587,20991.67,19593.69,18169.59,17336.33,15347.8,project-20-subproject-1-rca-13program-16
project-13,subproject-5,rca-10,program-35,4286,2352.51,1993.22,1727.27,1967.59,1938.54,project-13-subproject-5-rca-10program-35
project-13,subproject-28,rca-43,program-118,8175,6790.91,5909.33,5287.53,4121.14,3599.76,project-13-subproject-28-rca-43program-118
project-17,subproject-21,rca-29,program-46,22141,20139.26,17100.58,12645.31,12238.85,10424.18,project-17-subproject-21-rca-29program-46
project-16,subproject-13,rca-75,program-101,9805,12697.18,14419.01,15008.95,12465.62,10357.67,project-16-subproject-13-rca-75program-101
project-6,subproject-16,rca-30,program-56,11609,5853.88,5497.59,4962.94,4247.42,3777.75,project-6-subproject-16-rca-30program-56
project-17,subproject-36,rca-11,program-59,10580,8888.77,7612.29,6900.18,5623.02,5239.93,project-17-subproject-36-rca-11program-59
project-14,subproject-1,rca-56,program-79,28451,25347.96,22396.53,27391.53,19756.75,17757.45,project-14-subproject-1-rca-56program-79
project-10,subproject-10,rca-80,program-86,9463,8880.63,8268.09,7022.54,6828.35,6218.42,project-10-subproject-10-rca-80program-86
project-19,subproject-21,rca-8,program-79,10561,10759.27,11327.05,14474.06,11120.26,9160.11,project-19-subproject-21-rca-8program-79
project-6,subproject-28,rca-32,program-48,7096,5024.43,5393.74,4104.92,4064.83,3359.12,project-6-subproject-28-rca-32program-48
project-18,subproject-8,rca-21,program-19,17033,18495.31,18390.56,12842.5,7920.52,7221.4,project-18-subproject-8-rca-21program-19
project-15,subproject-14,rca-17,program-31,25878,24506.15,21103.54,22977.75,22831.74,19197.07,project-15-subproject-14-rca-17program-31
project-13,subproject-26,rca-29,program-83,11467,8011.45,9425.45,9021.31,10389.8,9871.73,project-13-subproject-26-rca-29program-83
project-5,subproject-38,rca-77,program-98,4414,4786.04,5157.95,3740.98,3128.62,2653.67,project-5-subproject-38-rca-77program-98
project-18,subproject-38,rca-10,program-112,23996,15756.96,16276.85,19764.72,13152.31,11442.08,project-18-subproject-38-rca-10program-112
project-4,subproject-6,rca-38,program-39,13270,10575.28,10697.63,8285.97,7955.81,6543.29,project-4-subproject-6-rca-38program-39
project-11,subproject-18,rca-5,program-51,9876,5019.48,5394.81,6239.88,3916.43,3339.59,project-11-subproject-18-rca-5program-51
project-13,subproject-35,rca-1,program-85,3109,2677.06,2963.88,2903.85,3065.73,2666.66,project-13-subproject-35-rca-1program-85
project-7,subproject-19,rca-50,program-18,24352,24884.94,21575.33,15749.66,15776.95,13396.94,project-7-subproject-19-rca-50program-18
project-8,subproject-2,rca-31,program-47,17551,15978.98,16392.64,13194.43,15781.04,13555.41,project-8-subproject-2-rca-31program-47
project-16,subproject-37,rca-51,program-77,24995,25806.92,23312.78,22311.36,22995.61,21001.98,project-16-subproject-37-rca-51program-77
project-2,subproject-21,rca-2,program-70,25358,25732.97,29159.81,31564.38,32740.9,30682.3,project-2-subproject-21-rca-2program-70
project-13,subproject-3,rca-64,program-82,23955,12263.9,13356.04,15981.06,10339.09,9977.09,project-13-subproject-3-rca-64program-82
project-8,subproject-24,rca-47,program-92,18303,9862.71,8180.03,6643.3,4740.34,4735.2,project-8-subproject-24-rca-47program-92
project-15,subproject-28,rca-60,program-92,12289,6200.01,5761.92,7061.44,7256.58,6198.42,project-15-subproject-28-rca-60program-92
project-16,subproject-32,rca-70,program-77,22672,19557.6,16220.16,15519.84,10259.92,9774.66,project-16-subproject-32-rca-70program-77
project-2,subproject-34,rca-1,program-13,9675,5220.7,4335.7,4981.44,3374.75,3171.56,project-2-subproject-34-rca-1program-13
project-6,subproject-14,rca-57,program-16,28427,23267.96,21795.57,17402.33,13293.2,12885.66,project-6-subproject-14-rca-57program-16
project-6,subproject-32,rca-1,program-84,2577,1497.98,1496.95,1539.96,1520.0,1367.1,project-6-subproject-32-rca-1program-84
project-9,subproject-8,rca-47,program-103,1598,950.64,1083.87,869.56,714.12,625.59,project-9-subproject-8-rca-47program-103
project-20,subproject-1,rca-69,program-96,1479,858.48,777.63,968.3,1154.95,1146.41,project-20-subproject-1-rca-69program-96
project-16,subproject-21,rca-47,program-55,10128,8590.43,9117.68,9040.2,6205.54,5836.83,project-16-subproject-21-rca-47program-55
project-1,subproject-10,rca-9,program-74,14152,18054.43,14778.46,18615.97,21327.8,17159.24,project-1-subproject-10-rca-9program-74
project-14,subproject-26,rca-50,program-65,11129,7652.47,8335.18,6137.06,4004.17,3947.16,project-14-subproject-26-rca-50program-65
project-14,subproject-22,rca-78,program-51,28399,26124.71,29212.08,26954.29,20675.92,17586.47,project-14-subproject-22-rca-78program-51
project-1,subproject-7,rca-32,program-36,16003,8032.68,8185.43,7563.47,5113.58,4937.29,project-1-subproject-7-rca-32program-36
project-13,subproject-10,rca-67,program-116,23885,24127.79,22081.54,26629.19,20144.0,18652.82,project-13-subproject-10-rca-67program-116
project-13,subproject-17,rca-9,program-102,8004,6023.19,7130.13,9115.23,10360.43,8806.96,project-13-subproject-17-rca-9program-102
project-13,subproject-20,rca-64,program-43,10094,8992.61,9329.54,7456.99,6148.0,5543.54,project-13-subproject-20-rca-64program-43
project-6,subproject-40,rca-47,program-100,24841,30985.71,36630.8,22177.49,18621.44,18000.81,project-6-subproject-40-rca-47program-100
project-17,subproject-19,rca-3,program-77,18591,22063.8,19468.6,25186.15,22653.33,18713.18,project-17-subproject-19-rca-3program-77
project-20,subproject-28,rca-42,program-70,4422,3774.01,3135.55,2041.79,1683.55,1520.59,project-20-subproject-28-rca-42program-70
project-18,subproject-11,rca-79,program-48,22289,18314.73,21019.31,17523.31,13570.8,12371.69,project-18-subproject-11-rca-79program-48
